time,load_N,cmod_mm
3.730000182986259460e-02,1.434809326171875000e+03,3.584300749935209751e-03
3.739999979734420776e-02,1.438469665527343750e+03,3.595070273149758577e-03
3.750000149011611938e-02,1.442129882812500000e+03,3.605840960517525673e-03
3.759999945759773254e-02,1.445789947509765625e+03,3.616612404584884644e-03
3.770000115036964417e-02,1.449449829101562500e+03,3.627385478466749191e-03
3.779999911785125732e-02,1.453105316162109375e+03,3.638184862211346626e-03
3.790000081062316895e-02,1.456754180908203125e+03,3.649025806225836277e-03
3.799999877810478210e-02,1.460398529052734375e+03,3.659894631709903479e-03
3.810000047087669373e-02,1.464035614013671875e+03,3.670808509923517704e-03
3.819999843835830688e-02,1.467663330078125000e+03,3.681780246552079916e-03
3.830000013113021851e-02,1.471284423828125000e+03,3.692792961373925209e-03
3.840000182390213013e-02,1.474901031494140625e+03,3.703833557665348053e-03
3.849999979138374329e-02,1.478514495849609375e+03,3.714892663992941380e-03
3.860000148415565491e-02,1.482125976562500000e+03,3.725963993929326534e-03
