# step, mean_h_oliver[mm], min_h_oliver[mm], max_h_oliver[mm]
369, 1.931894e+00, 6.301578e-01, 6.373774e+00
370, 1.931924e+00, 6.301574e-01, 6.373774e+00
371, 1.931954e+00, 6.301571e-01, 6.373774e+00
372, 1.931983e+00, 6.301567e-01, 6.373774e+00
373, 1.932012e+00, 6.301564e-01, 6.373774e+00
374, 1.932042e+00, 6.301561e-01, 6.373774e+00
375, 1.932071e+00, 6.301557e-01, 6.373774e+00
376, 1.932099e+00, 6.301554e-01, 6.373774e+00
377, 1.932128e+00, 6.301551e-01, 6.373774e+00
378, 1.932157e+00, 6.301548e-01, 6.373774e+00
379, 1.932185e+00, 6.301544e-01, 6.373774e+00
380, 1.932213e+00, 6.301541e-01, 6.373774e+00
381, 1.932242e+00, 6.301538e-01, 6.373774e+00
382, 1.932270e+00, 6.301535e-01, 6.373774e+00
383, 1.932298e+00, 6.301531e-01, 6.373774e+00
384, 1.932327e+00, 6.301527e-01, 6.373774e+00
385, 1.932356e+00, 6.301522e-01, 6.373774e+00
386, 1.932387e+00, 6.301517e-01, 6.373774e+00
387, 1.932418e+00, 6.301512e-01, 6.373774e+00
388, 1.932450e+00, 6.301506e-01, 6.373774e+00
389, 1.932483e+00, 6.301500e-01, 6.373774e+00
390, 1.932515e+00, 6.301494e-01, 6.373774e+00
391, 1.932548e+00, 6.301489e-01, 6.373774e+00
392, 1.932581e+00, 6.301483e-01, 6.373774e+00
393, 1.932614e+00, 6.301478e-01, 6.373774e+00
394, 1.932647e+00, 6.301472e-01, 6.373774e+00
395, 1.932680e+00, 6.301467e-01, 6.373774e+00
396, 1.932713e+00, 6.301462e-01, 6.373774e+00
397, 1.932746e+00, 6.301456e-01, 6.373774e+00
398, 1.932778e+00, 6.301451e-01, 6.373774e+00
399, 1.932811e+00, 6.301446e-01, 6.373774e+00
400, 1.932844e+00, 6.301441e-01, 6.373774e+00
401, 1.932876e+00, 6.301436e-01, 6.373774e+00
402, 1.932908e+00, 6.301431e-01, 6.373774e+00
403, 1.932941e+00, 6.301426e-01, 6.373774e+00
404, 1.932973e+00, 6.301421e-01, 6.373774e+00
405, 1.933005e+00, 6.301416e-01, 6.373774e+00
406, 1.933038e+00, 6.301410e-01, 6.373774e+00
407, 1.933072e+00, 6.301403e-01, 6.373774e+00
408, 1.933106e+00, 6.301396e-01, 6.373774e+00
409, 1.933140e+00, 6.301388e-01, 6.373774e+00
410, 1.933175e+00, 6.301379e-01, 6.373774e+00
411, 1.933210e+00, 6.301370e-01, 6.373774e+00
412, 1.933246e+00, 6.301361e-01, 6.373774e+00
413, 1.933281e+00, 6.301351e-01, 6.373774e+00
414, 1.933316e+00, 6.301342e-01, 6.373774e+00
415, 1.933351e+00, 6.301332e-01, 6.373774e+00
416, 1.933385e+00, 6.301322e-01, 6.373774e+00
417, 1.933420e+00, 6.301313e-01, 6.373774e+00
418, 1.933454e+00, 6.301303e-01, 6.373774e+00
419, 1.933489e+00, 6.301293e-01, 6.373774e+00
420, 1.933523e+00, 6.301283e-01, 6.373774e+00
421, 1.933557e+00, 6.301273e-01, 6.373774e+00
422, 1.933591e+00, 6.301264e-01, 6.373774e+00
423, 1.933625e+00, 6.301254e-01, 6.373774e+00
424, 1.933659e+00, 6.301244e-01, 6.373774e+00
425, 1.933693e+00, 6.301234e-01, 6.373774e+00
426, 1.933726e+00, 6.301225e-01, 6.373774e+00
427, 1.933760e+00, 6.301215e-01, 6.373774e+00
428, 1.933794e+00, 6.301205e-01, 6.373774e+00
429, 1.933827e+00, 6.301195e-01, 6.373774e+00
430, 1.933861e+00, 6.301186e-01, 6.373774e+00
431, 1.933895e+00, 6.301176e-01, 6.373774e+00
432, 1.933928e+00, 6.301166e-01, 6.373774e+00
433, 1.933962e+00, 6.301156e-01, 6.373774e+00
434, 1.933996e+00, 6.301145e-01, 6.373774e+00
435, 1.934030e+00, 6.301135e-01, 6.373774e+00
436, 1.934064e+00, 6.301125e-01, 6.373774e+00
437, 1.934099e+00, 6.301114e-01, 6.373774e+00
438, 1.934134e+00, 6.301103e-01, 6.373774e+00
439, 1.934169e+00, 6.301092e-01, 6.373774e+00
440, 1.934204e+00, 6.301081e-01, 6.373774e+00
441, 1.934240e+00, 6.301069e-01, 6.373774e+00
442, 1.934276e+00, 6.301057e-01, 6.373774e+00
443, 1.934312e+00, 6.301045e-01, 6.373774e+00
444, 1.934349e+00, 6.301033e-01, 6.373774e+00
445, 1.934385e+00, 6.301021e-01, 6.373774e+00
446, 1.934422e+00, 6.301008e-01, 6.373774e+00
447, 1.934459e+00, 6.300996e-01, 6.373774e+00
448, 1.934496e+00, 6.300984e-01, 6.373774e+00
449, 1.934532e+00, 6.300971e-01, 6.373774e+00
450, 1.934569e+00, 6.300959e-01, 6.373774e+00
451, 1.934606e+00, 6.300946e-01, 6.373774e+00
452, 1.934643e+00, 6.300932e-01, 6.373774e+00
453, 1.934679e+00, 6.300919e-01, 6.373774e+00
454, 1.934716e+00, 6.300906e-01, 6.373774e+00
455, 1.934753e+00, 6.300892e-01, 6.373774e+00
456, 1.934790e+00, 6.300879e-01, 6.373774e+00
457, 1.934828e+00, 6.300865e-01, 6.373774e+00
458, 1.934866e+00, 6.300851e-01, 6.373774e+00
459, 1.934904e+00, 6.300836e-01, 6.373774e+00
460, 1.934942e+00, 6.300821e-01, 6.373774e+00
461, 1.934981e+00, 6.300805e-01, 6.373774e+00
462, 1.935021e+00, 6.300789e-01, 6.373774e+00
463, 1.935060e+00, 6.300773e-01, 6.373774e+00
464, 1.935099e+00, 6.300757e-01, 6.373774e+00
465, 1.935138e+00, 6.300741e-01, 6.373774e+00
466, 1.935177e+00, 6.300725e-01, 6.373774e+00
467, 1.935216e+00, 6.300709e-01, 6.373774e+00
468, 1.935255e+00, 6.300693e-01, 6.373774e+00
