# cmod[mm], load[N]
6.002054e-03, 2.128252e+03
6.014601e-03, 2.131393e+03
6.027179e-03, 2.134529e+03
6.039796e-03, 2.137659e+03
6.052447e-03, 2.140783e+03
6.065128e-03, 2.143903e+03
6.077837e-03, 2.147018e+03
6.090571e-03, 2.150129e+03
6.103322e-03, 2.153238e+03
6.116084e-03, 2.156345e+03
6.128854e-03, 2.159450e+03
6.141630e-03, 2.162555e+03
6.154409e-03, 2.165659e+03
6.167192e-03, 2.168762e+03
6.179977e-03, 2.171865e+03
6.192764e-03, 2.174968e+03
6.205559e-03, 2.178069e+03
6.218364e-03, 2.181169e+03
6.231183e-03, 2.184266e+03
6.244017e-03, 2.187361e+03
6.256861e-03, 2.190454e+03
6.269712e-03, 2.193547e+03
6.282566e-03, 2.196638e+03
6.295424e-03, 2.199729e+03
6.308283e-03, 2.202820e+03
6.321157e-03, 2.205908e+03
6.334055e-03, 2.208993e+03
6.346983e-03, 2.212072e+03
6.359945e-03, 2.215146e+03
6.372934e-03, 2.218215e+03
6.385951e-03, 2.221280e+03
6.398987e-03, 2.224342e+03
6.412037e-03, 2.227402e+03
6.425097e-03, 2.230460e+03
6.438163e-03, 2.233517e+03
6.451234e-03, 2.236572e+03
6.464310e-03, 2.239628e+03
6.477388e-03, 2.242682e+03
6.490468e-03, 2.245736e+03
6.503561e-03, 2.248788e+03
6.516666e-03, 2.251838e+03
6.529779e-03, 2.254887e+03
6.542900e-03, 2.257934e+03
6.556026e-03, 2.260980e+03
6.569162e-03, 2.264025e+03
6.582314e-03, 2.267067e+03
6.595488e-03, 2.270105e+03
6.608688e-03, 2.273139e+03
6.621912e-03, 2.276168e+03
6.635153e-03, 2.279195e+03
6.648409e-03, 2.282220e+03
6.661674e-03, 2.285243e+03
6.674947e-03, 2.288264e+03
6.688233e-03, 2.291283e+03
6.701535e-03, 2.294300e+03
6.714855e-03, 2.297313e+03
6.728195e-03, 2.300323e+03
6.741549e-03, 2.303331e+03
6.754913e-03, 2.306337e+03
6.768286e-03, 2.309341e+03
6.781665e-03, 2.312345e+03
6.795049e-03, 2.315348e+03
6.808436e-03, 2.318350e+03
6.821826e-03, 2.321351e+03
6.835220e-03, 2.324352e+03
6.848623e-03, 2.327351e+03
6.862046e-03, 2.330346e+03
6.875489e-03, 2.333339e+03
6.888945e-03, 2.336329e+03
6.902417e-03, 2.339317e+03
6.915905e-03, 2.342302e+03
6.929415e-03, 2.345283e+03
6.942948e-03, 2.348260e+03
6.956500e-03, 2.351234e+03
6.970068e-03, 2.354206e+03
6.983647e-03, 2.357175e+03
6.997234e-03, 2.360143e+03
7.010828e-03, 2.363110e+03
7.024428e-03, 2.366075e+03
7.038037e-03, 2.369039e+03
7.051655e-03, 2.372001e+03
7.065280e-03, 2.374963e+03
7.078908e-03, 2.377923e+03
7.092545e-03, 2.380882e+03
7.106191e-03, 2.383839e+03
7.119859e-03, 2.386793e+03
7.133548e-03, 2.389743e+03
7.147255e-03, 2.392690e+03
7.160986e-03, 2.395633e+03
7.174746e-03, 2.398571e+03
7.188532e-03, 2.401504e+03
7.202344e-03, 2.404434e+03
7.216177e-03, 2.407360e+03
7.230033e-03, 2.410281e+03
7.243911e-03, 2.413200e+03
7.257807e-03, 2.416115e+03
7.271717e-03, 2.419028e+03
7.285638e-03, 2.421939e+03
7.299568e-03, 2.424848e+03
7.313506e-03, 2.427756e+03
7.327450e-03, 2.430663e+03
7.341400e-03, 2.433568e+03
7.355355e-03, 2.436473e+03
7.369316e-03, 2.439376e+03
7.383281e-03, 2.442279e+03
