# cmod[mm], load[N]
1.228639e-01, 1.343090e+03
1.232225e-01, 1.337027e+03
1.235805e-01, 1.331031e+03
1.239383e-01, 1.325070e+03
1.242957e-01, 1.319175e+03
1.246537e-01, 1.313236e+03
1.250117e-01, 1.307323e+03
1.253696e-01, 1.301447e+03
1.257273e-01, 1.295603e+03
1.260846e-01, 1.289809e+03
1.264413e-01, 1.284110e+03
1.267983e-01, 1.278408e+03
1.271551e-01, 1.272731e+03
1.275117e-01, 1.267103e+03
1.278685e-01, 1.261461e+03
1.282252e-01, 1.255848e+03
1.285817e-01, 1.250251e+03
1.289385e-01, 1.244642e+03
1.292956e-01, 1.239035e+03
1.296524e-01, 1.233466e+03
1.300090e-01, 1.227940e+03
1.303653e-01, 1.222451e+03
1.307215e-01, 1.216998e+03
1.310772e-01, 1.211605e+03
1.314326e-01, 1.206255e+03
1.317879e-01, 1.200932e+03
1.321430e-01, 1.195637e+03
1.324978e-01, 1.190401e+03
1.328524e-01, 1.185200e+03
1.332068e-01, 1.180032e+03
1.335611e-01, 1.174900e+03
1.339153e-01, 1.169781e+03
1.342697e-01, 1.164659e+03
1.346238e-01, 1.159568e+03
1.349777e-01, 1.154508e+03
1.353312e-01, 1.149504e+03
1.356843e-01, 1.144545e+03
1.360372e-01, 1.139611e+03
1.363897e-01, 1.134723e+03
1.367421e-01, 1.129863e+03
1.370942e-01, 1.125042e+03
1.374461e-01, 1.120272e+03
1.377980e-01, 1.115502e+03
1.381498e-01, 1.110751e+03
1.385014e-01, 1.106029e+03
1.388532e-01, 1.101307e+03
1.392051e-01, 1.096598e+03
1.395569e-01, 1.091913e+03
1.399085e-01, 1.087259e+03
1.402600e-01, 1.082632e+03
1.406112e-01, 1.078043e+03
1.409621e-01, 1.073496e+03
1.413127e-01, 1.068990e+03
1.416630e-01, 1.064525e+03
1.420128e-01, 1.060120e+03
1.423627e-01, 1.055722e+03
1.427128e-01, 1.051310e+03
1.430631e-01, 1.046892e+03
1.434133e-01, 1.042496e+03
1.437632e-01, 1.038143e+03
1.441130e-01, 1.033807e+03
1.444626e-01, 1.029506e+03
1.448125e-01, 1.025198e+03
1.451626e-01, 1.020886e+03
1.455127e-01, 1.016586e+03
1.458626e-01, 1.012316e+03
1.462123e-01, 1.008069e+03
1.465618e-01, 1.003861e+03
1.469113e-01, 9.996627e+02
1.472606e-01, 9.954847e+02
1.476098e-01, 9.913375e+02
1.479587e-01, 9.872243e+02
1.483073e-01, 9.831578e+02
1.486556e-01, 9.791125e+02
1.490038e-01, 9.750935e+02
1.493517e-01, 9.711138e+02
1.496995e-01, 9.671497e+02
1.500471e-01, 9.632154e+02
1.503944e-01, 9.593080e+02
